Data_Unit,Error_Rate,Time_Elapsed,Throughput
250,25,119.139,501.875946
250,25,132.873,450.001129
250,25,1161.865,51.462952
250,25,71.679,834.177368
250,25,93.308,640.813232
250,25,125.838,475.158539
250,25,95.405,626.728149
250,25,110.659,540.335632
250,25,124.851,478.914886
250,25,106.765,560.043091
250,25,124.354,480.828949
250,25,1124.851,53.156376
250,25,103.139,579.732178
250,25,90.561,660.251099
250,25,119.237,501.46347
250,25,95.558,625.72467
250,25,169.313,353.150665
250,25,148.112,403.701263
250,25,177.144,337.538971
250,25,1138.995,52.496281
250,25,128.675,464.682343
250,25,62.341,959.128052
250,25,132.417,451.550751
250,25,130.638,457.69989
250,25,124.958,478.504791
250,25,166.446,359.233612
250,25,132.082,452.696045
250,25,1149.694,52.007751
250,25,120.523,496.112762
250,25,123.878,482.676514
250,25,87.377,684.310547
250,25,96.65,618.654907
250,25,117.89,507.193146
250,25,132.124,452.552185
250,25,134.546,444.405609
250,25,1133.23,52.76334
250,25,117.968,506.857788
250,25,119.43,500.653107
250,25,252.904,236.425674
250,25,88.148,678.325073
250,25,77.249,774.029419
250,25,112.777,530.187866
250,25,91.651,652.398743
250,25,1118.753,53.44611
250,25,115.655,516.994507
250,25,118.119,506.209839
250,50,189.421,315.661926
250,50,1251.768,47.766842
250,50,152.583,391.871979
250,50,206.57,289.45636
250,50,211.639,282.523529
250,50,1213.079,49.290279
250,50,182.183,328.202972
250,50,204,293.102936
250,50,178.974,334.087646
250,50,174.009,343.620148
250,50,161.46,370.326996
250,50,1133.568,52.747608
250,50,194.948,306.712555
250,50,214.212,279.130005
250,50,173.798,344.037323
250,50,204.257,292.734161
250,50,1184.589,50.475735
250,50,245.852,243.207291
250,50,197.331,303.008667
250,50,191.407,312.386688
250,50,191.85,311.665344
250,50,1170.129,51.099491
250,50,166.332,359.479828
250,50,208.063,287.379303
250,50,227.054,263.342651
250,50,202.457,295.336792
250,50,1186.748,50.383904
250,50,186.965,319.808533
250,50,194.567,307.313171
250,50,183.639,325.600769
250,50,229.056,261.040955
250,50,1142.858,52.318832
250,50,156.696,381.585999
250,50,201.004,297.47171
250,50,182.707,327.261688
250,50,174.398,342.853699
250,50,184.462,324.148041
250,50,1202.458,49.725643
250,50,182.548,327.546722
250,50,160.62,372.263733
250,50,217.64,274.733521
250,50,179.011,334.018585
250,50,1250.954,47.79792
250,50,212.592,281.25705
250,50,190.052,314.613892
250,50,189.156,316.104156
250,50,202.878,294.723907
250,50,1255.199,47.636272
250,50,148.568,402.462189
250,50,157.99,378.460663
250,50,189.975,314.741394
250,50,184.719,323.697083
250,50,1201.341,49.771881
250,50,163.043,366.731476
250,50,245.52,243.536163
250,50,215.113,277.960876
250,50,169.394,352.981812
250,50,1191.002,50.203949
250,50,155.557,384.379974
250,50,196.81,303.810791
250,75,1436.637,41.620117
250,75,506.369,118.081879
250,75,1472.358,40.610367
250,75,450.193,132.816376
250,75,1587.95,37.654209
250,75,437.451,136.685028
250,75,1477.079,40.480572
250,75,509.175,117.431145
250,75,1459.996,40.954224
250,75,397.779,150.317139
250,75,461.138,129.664001
250,75,1393.552,42.906902
250,75,342.313,174.673477
250,75,1439.152,41.547382
250,75,442.27,135.195694
250,75,387.49,154.308502
250,75,1379.781,43.335136
250,75,412.668,144.893723
250,75,1431.781,41.761276
250,75,448.352,133.36174
250,75,1492.061,40.074097
250,75,735.425,81.304008
250,75,1418.402,42.155186
250,75,426.515,140.189667
250,75,1471.799,40.625793
250,75,367.099,162.879776
250,75,1462.069,40.896156
250,75,490.795,121.828865
250,75,415.797,143.803345
250,75,1420.322,42.098198
250,75,388.671,153.83963
250,75,1494.6,40.006023
250,75,414.713,144.17923
250,75,1511.619,39.555603
250,75,460.962,129.713516
250,75,1391.83,42.959988
250,75,460.634,129.805878
250,75,1474.238,40.558578
250,75,592.925,100.844124
250,75,1410.974,42.37711
250,75,616.127,97.046547
250,75,1451.895,41.182728
250,75,418.284,142.948334
250,75,436.957,136.839554
250,75,1402.669,42.628021
250,75,491.838,121.570511
250,75,1425.222,41.953465
250,75,512.42,116.687485
250,75,1416.446,42.213398
250,75,426.164,140.305145
250,75,1388.154,43.07375
250,75,469.381,127.386917
250,75,1477.536,40.468048
250,75,442.348,135.17186
250,75,529.047,113.020203
250,75,702.393,85.127556
250,75,1465.815,40.791641
250,75,444.62,134.481125
250,75,1442.167,41.460526
250,75,487.679,122.607292
50,0,1402.3,42.639233
50,0,529.33,112.959778
50,0,1455.003,41.094761
50,0,566.634,105.523148
50,0,1470.017,40.675041
50,0,1969.222,30.363768
50,0,459.154,130.224289
50,0,1453.115,41.148155
50,0,474.146,126.106728
50,0,446.027,134.0569
50,0,1467.52,40.744247
50,0,1717.029,34.823524
50,0,647.578,92.333275
50,0,1434.806,41.673229
50,0,498.757,119.884033
50,0,1849.729,32.325275
50,0,1816.128,32.92334
50,0,315.205,189.695602
50,0,1382.5,43.249908
50,0,391.969,152.545227
50,0,381.32,156.805298
50,0,1402.74,42.625862
50,0,427.627,139.825119
50,0,1444.006,41.407722
50,0,395.902,151.0298
50,0,1392.693,42.933369
50,0,387.54,154.288589
50,0,411.39,145.343826
50,0,1387.865,43.082722
50,0,374.874,159.501602
50,0,1439.747,41.530216
50,0,625.566,95.582245
50,0,1408.794,42.442688
50,0,456.047,131.111481
50,0,364.207,164.173126
50,0,1411.316,42.36684
50,0,460.206,129.926605
50,0,1380.811,43.302811
50,0,396.222,150.907837
50,0,1822.901,32.801014
50,0,416.802,143.456604
50,0,1410.989,42.376659
50,0,485.837,123.072144
50,0,1415.311,42.24725
50,0,453.712,131.78624
50,0,1495.076,39.993282
50,0,451.577,132.409317
50,0,1467.066,40.756855
50,0,426.33,140.250519
50,0,391.075,152.893936
50,0,1330.064,44.954979
50,0,473.461,126.289177
50,0,1384.348,43.192173
50,0,414.681,144.190353
50,0,458.83,130.316238
50,0,1404.036,42.586514
50,0,391.982,152.540176
50,0,1454.64,41.105015
50,0,457.851,130.594879
50,0,1429.438,41.829727
50,25,1702.892,35.112621
50,25,1726.995,34.622566
50,25,1705.173,35.065651
50,25,466.164,128.266022
50,25,1680.257,35.585629
50,25,623.184,95.947578
50,25,1587.486,37.665215
50,25,1655.889,36.109303
50,25,652.818,91.592148
50,25,1819.145,32.868736
50,25,1618.302,36.947987
50,25,632.329,94.559952
50,25,1535.371,38.943684
50,25,1646.46,36.316097
50,25,636.093,94.000404
50,25,1624.001,36.818329
50,25,1747.631,34.213745
50,25,635.292,94.118927
50,25,1568.772,38.114525
50,25,582.498,102.649284
50,25,1606.819,37.212032
50,25,1681.942,35.549976
50,25,792.163,75.480675
50,25,1610.79,37.120293
50,25,1017.342,58.773746
50,25,1579.813,37.848152
50,25,1837.166,32.546326
50,25,612.31,97.65152
50,25,1616.225,36.995468
50,25,601.443,99.415909
50,25,1649.178,36.256245
50,25,1525.42,39.197727
50,25,1240.329,48.207371
50,25,1772.135,33.740658
50,25,652.478,91.63987
50,25,1643.696,36.377163
50,25,1798.674,33.242825
50,25,1782.275,33.548695
50,25,1656.941,36.086376
50,25,1797.519,33.264183
50,25,2619.12,22.829422
50,25,660.721,90.49659
50,25,1601.291,37.340496
50,25,1966.638,30.403664
50,25,631.258,94.720383
50,25,1908.087,31.33662
50,25,1629.991,36.683025
50,25,1779.867,33.594086
50,25,732.968,81.576546
50,25,1804.891,33.128315
50,25,1603.062,37.299244
50,25,1807.426,33.081852
50,25,1911.145,31.28648
50,25,611.986,97.703209
50,25,1743.242,34.299885
50,25,1819.675,32.859165
50,25,617.181,96.880814
50,25,1606.712,37.214508
50,25,1219.799,49.018734
50,25,1056.622,56.588829
50,50,1983.566,30.144194
50,50,1072.68,55.741692
50,50,1017.119,58.786629
50,50,1948.516,30.68643
50,50,1092.214,54.744766
50,50,1998.38,29.920736
50,50,1086.588,55.028217
50,50,1969.317,30.362303
50,50,1006.185,59.425453
50,50,2630.356,22.731905
50,50,1963.318,30.455076
50,50,1109.103,53.911133
50,50,1927.878,31.014929
50,50,1969.638,30.357355
50,50,1807.901,33.073162
50,50,1082.307,55.245876
50,50,1108.274,53.951458
50,50,1987.895,30.07855
50,50,1097.954,54.458569
50,50,1031.436,57.970634
50,50,1882.651,31.760002
50,50,1989.671,30.051702
50,50,1076.945,55.520943
50,50,2721.54,21.970282
50,50,1038.378,57.583073
50,50,1057.93,56.51886
50,50,1020.462,58.594051
50,50,1930.768,30.968506
50,50,1985.846,30.109587
50,50,1008.291,59.301331
50,50,1988.161,30.074526
50,50,1991.941,30.017454
50,50,1019.125,58.670918
50,50,1017.522,58.763351
50,50,1931.818,30.951674
50,50,1984.78,30.125757
50,50,1057.642,56.534256
50,50,1018.864,58.685947
50,50,1997.136,29.939373
50,50,1030.958,57.997513
50,50,1904.163,31.401199
50,50,1042.26,57.368603
50,50,1923.437,31.086538
50,50,1015.344,58.8894
50,50,1024.846,58.343403
50,50,1107.126,54.007404
50,50,1061.002,56.355221
50,50,1009.371,59.237885
50,50,1026.845,58.22982
50,50,1094.059,54.652447
50,50,1081.357,55.294411
50,50,1952.927,30.617121
50,50,1969.421,30.360699
50,50,1022.73,58.464111
50,50,1972.171,30.318365
50,50,1076.045,55.567375
50,50,1020.047,58.617886
50,50,1090.964,54.807491
50,50,1984.48,30.130312
50,50,2062.366,28.99243
50,75,2121.181,28.188543
50,75,3347.255,17.863295
50,75,2254.878,26.517178
50,75,2136.941,27.980652
50,75,2292.457,26.082495
50,75,3297.038,18.135368
50,75,2246.216,26.619434
50,75,3009.731,19.86656
50,75,2131.528,28.051706
50,75,2304.87,25.942026
50,75,3384.222,17.668167
50,75,3873.259,15.437387
50,75,2451.825,24.38714
50,75,3003.617,19.907
50,75,2208.948,27.068541
50,75,2188.416,27.322502
50,75,3349.179,17.853033
50,75,4169.555,14.340379
50,75,2177.319,27.461754
50,75,5032.74,11.880804
50,75,4723.867,12.657638
50,75,6761.343,8.843362
50,75,3988.368,14.991847
50,75,2449.338,24.411903
50,75,2294.674,26.057295
50,75,2046.738,29.213802
50,75,3680.411,16.246284
50,75,3347.161,17.863796
50,75,6266.724,9.541348
50,75,3839.317,15.573864
50,75,2276.603,26.264132
50,75,2151.784,27.787642
50,75,3232.741,18.496069
